"curly","dot.location","eqeqeq","vars.on.top","no.unused.vars","no.use.before.define","id.length","semi","max.len","max.statements","max.statements.per.line","no.bitwise","LOC","SLOC","comment","mixLOC","emptyLine","codePerLine","mixLOC.1","paremeter","Url","X1","X2","X3","X4"
0,0,0,4,3,0,1,0,2,1,0,0,41,41,0,0,0,38.9268292682927,0,5,"http://rosettacode.org//wiki/Animate_a_pendulum",0,0.856680324424922,0.111217542324288,0.0320537017535783
4,0,1,8,3,2,1,0,0,0,0,0,50,44,5,5,6,21.98,5,0,"http://rosettacode.org//wiki/Animate_a_pendulum",0.189658771200751,0,0,0.810960495748891
2,0,0,0,1,0,0,0,0,0,0,0,16,16,1,1,0,30.375,1,1,"http://rosettacode.org//wiki/Animation",0.0345695776359577,0.926425051054581,0.0296118380096226,0.00935394803464776
0,0,0,0,1,0,2,0,0,0,0,0,8,8,0,0,0,24.75,0,1,"http://rosettacode.org//wiki/Anonymous_recursion",0,0.987398991677446,0.00969531099180445,0.00279425889517811
0,0,0,0,1,0,2,0,0,0,0,0,8,8,0,0,0,22,0,1,"http://rosettacode.org//wiki/Anonymous_recursion",0,0.987398991677446,0.00969531099180445,0.00279425889517811
0,0,0,1,0,0,3,0,0,0,0,0,10,10,0,0,0,18.3,0,2,"http://rosettacode.org//wiki/Apply_a_callback_to_an_array",0,0.979476648207598,0.0158481734968022,0.00456755846235351
0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,17.6666666666667,0,0,"http://rosettacode.org//wiki/Apply_a_callback_to_an_array",0,0.999883749689267,0,0
0,0,0,0,0,0,2,1,0,0,0,0,4,4,0,0,0,15.5,0,0,"http://rosettacode.org//wiki/Apply_a_callback_to_an_array",0,0.999883097681829,0,0
0,0,0,0,0,0,0,1,0,0,0,0,9,9,0,0,0,24.4444444444444,0,2,"http://rosettacode.org//wiki/Arithmetic-geometric_mean",0,0.983437819942522,0.0127717422443033,0.00368090867876581
0,0,1,7,1,6,11,0,2,1,0,0,50,45,0,0,5,29.4,0,1,"http://rosettacode.org//wiki/Arithmetic_evaluation",0,0.29823778554436,0,0.701991176402886
0,0,0,0,0,0,1,0,0,0,0,0,10,10,2,2,0,22.2,2,1,"http://rosettacode.org//wiki/Averages/Arithmetic_mean",0.0795480921483793,0.914952126229372,0.000542917967464782,0.0049793570297747
0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,1,0,23.125,1,1,"http://rosettacode.org//wiki/Averages/Arithmetic_mean",0.0394246394681807,0.95533664083333,0.00224125136044138,0.00295051733908142
0,0,0,0,0,0,1,0,0,0,0,0,8,8,2,2,0,26,2,1,"http://rosettacode.org//wiki/Averages/Arithmetic_mean",0.0792138449169862,0.91962181736129,0,0.00118487309694146
0,0,0,0,0,0,1,1,0,0,0,0,8,8,2,2,0,27.625,2,0,"http://rosettacode.org//wiki/Averages/Arithmetic_mean",0.0792138449169862,0.91962181736129,0,0.00118487309694146
0,0,0,0,1,0,1,0,0,0,0,0,3,3,0,0,0,28.3333333333333,0,1,"http://rosettacode.org//wiki/Averages/Arithmetic_mean",0,0.999883749689267,0,0
0,0,0,0,1,0,3,0,0,0,0,0,3,3,1,1,0,25,1,0,"http://rosettacode.org//wiki/Array_concatenation",0.0386761636215255,0.961275468955857,0,0
0,0,0,0,0,0,0,0,0,0,0,0,14,13,1,0,0,20.7857142857143,0,0,"http://rosettacode.org//wiki/Array_concatenation",0,0.958090840432689,0.0400287468141709,0.00178281580013783
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,40,0,0,"http://rosettacode.org//wiki/Array_length",0,0.999885053704143,0,0
0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,17.3333333333333,0,1,"http://rosettacode.org//wiki/Array_length",0,0.999883749689267,0,0
0,0,0,0,1,0,2,0,0,0,0,0,5,5,0,0,0,17.8,0,1,"http://rosettacode.org//wiki/Array_length",0,0.999282506882221,0.000466017234305766,0.0001343095444144
0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,32.6666666666667,0,2,"http://rosettacode.org//wiki/Array_length",0,0.999883749689267,0,0
0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,27,0,2,"http://rosettacode.org//wiki/Array_length",0,0.999883749689267,0,0
0,0,0,0,0,0,1,0,0,0,0,0,3,3,1,1,0,27,1,0,"http://rosettacode.org//wiki/Array_map",0.0386761636215255,0.961275468955857,0,0
0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,0,0,37.3333333333333,0,0,"http://rosettacode.org//wiki/Array_map",0.00580160755137563,0.992966918661244,0.00112541763726294,0
0,0,0,0,0,0,0,1,0,0,0,0,31,31,0,0,0,16.8387096774194,0,0,"http://rosettacode.org//wiki/Array_search",0,0.896292041774175,0.0804532297992908,0.0231872039176988
0,0,1,0,0,0,0,1,2,0,0,0,11,11,2,2,0,39.7272727272727,2,0,"http://rosettacode.org//wiki/Array_search",0.0789412094193516,0.911338177507029,0.00396424129861158,0.00577978586672027
0,0,0,0,0,0,0,1,0,0,0,0,6,6,0,0,0,5.33333333333333,0,0,"http://rosettacode.org//wiki/Array_search",0,0.995321335147297,0.00354244848680462,0.0010209593280021
0,0,0,0,0,0,0,1,0,0,0,0,11,11,1,1,0,19.7272727272727,1,0,"http://rosettacode.org//wiki/Array_search",0.0376039912810967,0.944494794666297,0.0125052213538864,0.00535180384991928
0,0,0,2,4,0,2,0,1,0,0,0,15,8,9,2,0,42.6666666666667,2,0,"http://rosettacode.org//wiki/Arrays",0.108341665946622,0.816695185794792,0.0750721273242485,0
1,0,1,2,0,0,8,10,0,0,0,2,22,21,0,0,1,23.2727272727273,0,1,"http://rosettacode.org//wiki/Balanced_brackets",0,0.833126396562533,0.0159471792690697,0.150889747764821
0,0,0,1,1,0,6,1,0,1,0,0,42,36,7,1,0,27.2619047619048,1,2,"http://rosettacode.org//wiki/Barnsley_fern",0.044990849391034,0.781139662383841,0.17391260922658,0
1,0,2,5,0,0,14,2,15,1,0,6,77,68,19,13,3,45.1688311688312,13,0,"http://rosettacode.org//wiki/Base64_encode_data",0.534019329806296,0,0.0573617727198855,0.409698168754351
0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,140,1,0,"http://rosettacode.org//wiki/Base64_encode_data",0.0381253106711783,0.961826568393292,0,0
0,0,0,0,2,0,0,1,1,0,0,0,14,14,1,1,0,24.4285714285714,1,0,"http://rosettacode.org//wiki/Base64_encode_data",0.0357833430940131,0.933652948499266,0.0227691913473291,0.00775309036075658
10,0,2,19,1,0,16,0,1,1,0,0,49,46,1,1,3,27.0408163265306,1,1,"http://rosettacode.org//wiki/Best_shuffle",0.036331633686571,0.498249665300284,0.0196781833043554,0.445910905138509
0,0,0,2,0,0,1,0,1,0,0,0,7,7,1,1,0,33.2857142857143,1,1,"http://rosettacode.org//wiki/Binary_digits",0.0397415467913447,0.958471383591223,0,0.00173917606641368
0,0,0,0,0,0,1,1,0,0,0,0,5,5,0,0,0,19.2,0,0,"http://rosettacode.org//wiki/Binary_digits",0,0.999282506882221,0.000466017234305766,0.0001343095444144
0,0,0,1,1,0,1,0,0,0,0,0,13,13,0,0,0,25.7692307692308,0,4,"http://rosettacode.org//wiki/Binary_search",0,0.967593133002823,0.0250774672543008,0.00722750781311721
0,0,0,0,1,0,2,0,0,0,0,0,15,15,0,0,0,22.4666666666667,0,2,"http://rosettacode.org//wiki/Binary_search",0,0.959670789532972,0.0312303297593007,0.00900080738029323
0,0,4,0,0,0,0,2,8,0,0,0,45,31,39,25,0,59.2888888888889,25,0,"http://rosettacode.org//wiki/Binary_strings",1.00200000286957,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,24,16,9,1,0,32.4166666666667,1,0,"http://rosettacode.org//wiki/Bitmap",0.065825090418481,0.810127262339013,0.124106215947496,0
0,0,0,0,1,0,2,0,0,0,0,7,9,9,3,3,0,34.7777777777778,3,2,"http://rosettacode.org//wiki/Bitwise_operations",0.118686143042628,0.880772251131361,0,0.000630570127466504
1,0,1,2,0,0,7,2,1,0,0,0,20,20,0,0,0,22.05,0,0,"http://rosettacode.org//wiki/Sorting_algorithms/Bogosort",0,0.939864930858346,0.0466124860217992,0.0134340562982329
1,0,1,19,0,0,16,1,4,1,0,0,166,165,16,16,1,22.6566265060241,16,0,"http://rosettacode.org//wiki/Knapsack_problem/Bounded",0.538344481463955,0,0.320378725607507,0.142516295725095
0,0,0,1,0,0,5,0,2,1,0,0,39,38,0,0,1,33.2051282051282,0,2,"http://rosettacode.org//wiki/Box_the_compass",0,0.765786477068809,0.0682465105615608,0.165962794085814
3,0,0,4,0,6,22,2,1,1,0,0,133,113,20,0,0,35.0601503759398,0,0,"http://rosettacode.org//wiki/Brace_expansion",0.00946369056684786,0.367243707850983,0.623487999868272,0
1,0,1,1,0,0,1,0,0,0,0,0,8,8,0,0,0,18.625,0,0,"http://rosettacode.org//wiki/Loops/Break",0,0.987398991677446,0.00969531099180445,0.00279425889517811
1,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,26.6666666666667,0,0,"http://rosettacode.org//wiki/Loops/Break",0,0.983437819942522,0.0127717422443033,0.00368090867876581
1,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,25,0,0,"http://rosettacode.org//wiki/Loops/Break",0,0.971554304737747,0.022001036001802,0.00634085802952952
1,0,0,1,1,0,0,0,0,1,0,0,20,20,0,0,0,22.7,0,4,"http://rosettacode.org/wiki/Bitmap/Bresenham%27s_line_algorithm",0,0.939864930858346,0.0466124860217992,0.0134340562982329
3,0,3,10,1,0,14,0,6,2,0,0,142,109,30,1,4,34.1056338028169,1,2,"http://rosettacode.org//wiki/Brownian_tree",0.0867236279453131,0,0.527013976073293,0.386906028128959
0,0,0,2,0,0,1,1,0,0,0,0,15,15,0,0,0,24.4666666666667,0,0,"http://rosettacode.org//wiki/Sorting_algorithms/Bubble_sort",0,0.959670789532972,0.0312303297593007,0.00900080738029323
0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,27.6666666666667,0,0,"http://rosettacode.org//wiki/Sorting_algorithms/Bubble_sort",0,0.999883749689267,0,0
0,6,0,0,0,0,0,1,1,0,0,0,20,20,0,0,0,39.8,0,0,"http://rosettacode.org//wiki/CSV_to_HTML_translation",0,0.939864930858346,0.0466124860217992,0.0134340562982329
0,0,0,2,0,0,2,0,1,0,0,0,10,9,1,0,0,31.2,0,2,"http://rosettacode.org//wiki/Caesar_cipher",0.00128385855729989,0.972010978884865,0.0266027041112675,0
0,0,0,0,0,0,0,3,0,0,0,0,5,5,2,2,0,15.6,2,0,"http://rosettacode.org//wiki/Call_a_function",0.0784123115924798,0.921607934816663,0,0
0,0,0,0,1,0,1,1,0,0,0,0,3,3,1,1,0,24.3333333333333,1,0,"http://rosettacode.org//wiki/Call_a_function",0.0386761636215255,0.961275468955857,0,0
0,0,0,0,0,0,2,3,0,0,0,0,7,7,1,1,0,18.5714285714286,1,0,"http://rosettacode.org//wiki/Call_a_function",0.0397415467913447,0.958471383591223,0,0.00173917606641368
0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,26.75,0,0,"http://rosettacode.org//wiki/Call_a_function",0,0.999883097681829,0,0
0,0,0,0,0,0,0,1,0,0,0,0,6,6,1,1,0,22.6666666666667,1,0,"http://rosettacode.org//wiki/Call_a_function",0.039502443047046,0.960448819799706,0,0
0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,5,0,0,"http://rosettacode.org//wiki/Call_an_object_method",0,0.999885053704143,0,0
0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,0,36,0,0,"http://rosettacode.org//wiki/Case-sensitivity_of_identifiers",0,0.999883097681829,0,0
7,0,3,6,0,7,12,20,3,1,0,0,41,37,0,0,4,32.6341463414634,0,4,"http://rosettacode.org//wiki/Casting_out_nines",0,0.438505951739073,0,0.561653743192658
4,0,2,4,0,0,9,0,0,0,0,0,33,29,0,0,4,22.7575757575758,0,1,"http://rosettacode.org//wiki/Catalan_numbers",0,0.454557089598263,0,0.545598252050357
0,0,0,3,0,0,4,0,0,0,0,0,13,11,0,0,2,21.0769230769231,0,2,"http://rosettacode.org//wiki/Catamorphism",0,0.739106206452486,0,0.260909512844325
0,0,0,0,0,0,4,0,0,0,0,0,17,14,3,0,0,29.0588235294118,0,0,"http://rosettacode.org//wiki/Catamorphism",0.00598328174876113,0.926155936781535,0.067786619667921,0
0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,48.5,2,0,"http://rosettacode.org//wiki/Character_codes",0.0775860321669587,0.922434583972816,0,0
0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,41,0,0,"http://rosettacode.org//wiki/Character_codes",0,0.999885053704143,0,0
0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,15,0,0,"http://rosettacode.org//wiki/Character_codes",0,0.999885053704143,0,0
0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,23.3333333333333,0,0,"http://rosettacode.org//wiki/Character_codes",0,0.999883749689267,0,0
0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,11,0,0,"http://rosettacode.org//wiki/Character_codes",0,0.999885053704143,0,0
0,0,4,3,0,2,1,1,1,0,0,0,129,110,19,0,0,36.0077519379845,0,1,"http://rosettacode.org//wiki/Chat_server",0.00743667532783714,0.391668081743819,0.60107623591323,0
0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,34,0,0,"http://rosettacode.org//wiki/Check_that_file_exists",0,0.999282506882221,0.000466017234305766,0.0001343095444144
0,0,0,2,0,0,1,1,2,0,0,0,23,21,7,6,1,34.8260869565217,6,2,"http://rosettacode.org//wiki/Classes",0.243523126598431,0.615955313742468,0,0.140895359430826
0,0,0,4,1,0,4,0,0,0,0,0,26,25,0,0,1,27.6153846153846,0,1.5,"http://rosettacode.org//wiki/Closest-pair_problem",0,0.817281709622831,0.0282529042790694,0.154436346899173
5,0,0,20,0,0,30,4,5,2,0,0,120,116,6,2,0,32.1833333333333,2,0,"http://rosettacode.org//wiki/Closest-pair_problem",0.0301253761012658,0.485335556666575,0.414536729297104,0.0701638897774114
0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,19,0,0,"http://rosettacode.org//wiki/Collections",0,0.999282506882221,0.000466017234305766,0.0001343095444144
0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,3,0,40.6,3,0,"http://rosettacode.org//wiki/Collections",0.117597606613087,0.882491500114904,0,0
5,0,1,3,0,0,9,2,0,0,0,4,20,18,0,0,2,18.15,0,1.33333333333333,"http://rosettacode.org//wiki/Combinations",0,0.725061460825696,0,0.274958067593838
0,0,0,0,0,0,2,0,2,0,0,0,24,22,2,0,0,33.875,0,2,"http://rosettacode.org//wiki/Combinations",0,0.912938002248229,0.082667907646537,0.00431797183944956
2,1,0,1,0,0,8,0,0,0,0,0,23,22,1,0,0,24.304347826087,0,0,"http://rosettacode.org//wiki/Combinations",0,0.922440294818366,0.0677166280866648,0.00976266385242833
3,1,0,2,1,0,10,1,0,0,0,0,38,35,3,0,0,25.7368421052632,0,0,"http://rosettacode.org//wiki/Combinations",0,0.851940477124073,0.137612793488898,0.0103997270131121
1,0,1,1,0,0,4,0,1,0,0,0,20,19,0,0,1,28,0,3,"http://rosettacode.org//wiki/Combinations_with_repetitions",0,0.841048740032382,0.00979431676407198,0.149116448197645
1,0,0,0,1,0,7,1,0,0,0,0,37,31,6,0,0,29.5405405405405,0,0,"http://rosettacode.org//wiki/Combinations_with_repetitions",0.00690118575827713,0.828933169644302,0.164138810360488,0
0,0,0,0,0,0,0,1,0,0,0,0,11,11,0,0,0,15.3636363636364,0,0,"http://rosettacode.org//wiki/Combinations_with_repetitions",0,0.975515476472674,0.018924604749301,0.0054542082459412
0,0,0,0,0,0,1,0,0,0,0,0,17,17,0,0,0,19,0,1,"http://rosettacode.org//wiki/Comma_quibbling",0,0.951748446063121,0.0373831922643005,0.0107741069474692
1,0,0,1,0,0,1,0,0,0,0,0,3,3,0,0,0,35.3333333333333,0,0,"http://rosettacode.org//wiki/Command-line_arguments",0,0.999883749689267,0,0
1,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,33,0,0,"http://rosettacode.org//wiki/Command-line_arguments",0,0.999884401696705,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,31,1,0,"http://rosettacode.org//wiki/Comments",0.0381253106711783,0.961826568393292,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,53,0,0,"http://rosettacode.org//wiki/Comments",0.00553548441699873,0.994358508888697,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,16.3333333333333,0,0,"http://rosettacode.org//wiki/Comments",0.0269083598749003,0.921738045796848,0.0513108274041705,0
0,0,0,1,0,0,6,0,0,0,0,0,29,28,8,8,1,23.2413793103448,8,1,"http://rosettacode.org//wiki/Compare_a_list_of_strings",0.316756643896679,0.533556221478541,0,0.150192109278154
0,0,0,2,0,0,27,8,0,0,0,0,42,41,1,0,0,29.3809523809524,0,2,"http://rosettacode.org//wiki/Arithmetic/Complex",0,0.847178031854791,0.126168821884156,0.0266090097405983
0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,27.5,0,0,"http://rosettacode.org//wiki/Concurrent_computing",0,0.999883097681829,0,0
0,0,0,1,0,0,1,0,0,0,0,0,9,9,0,0,0,32.6666666666667,0,0,"http://rosettacode.org//wiki/Concurrent_computing",0,0.983437819942522,0.0127717422443033,0.00368090867876581
0,0,2,0,0,0,0,0,0,0,0,0,7,7,0,0,0,13.8571428571429,0,0,"http://rosettacode.org//wiki/Conditional_structures",0,0.99136016341237,0.00661887973930559,0.00190760911159041
0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,13.7333333333333,0,0,"http://rosettacode.org//wiki/Conditional_structures",0,0.959670789532972,0.0312303297593007,0.00900080738029323
0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,46,0,0,"http://rosettacode.org//wiki/Conditional_structures",0,0.999885053704143,0,0
0,0,0,0,1,0,0,0,0,0,0,0,9,9,0,0,0,25.4444444444444,0,2,"http://rosettacode.org//wiki/Conditional_structures",0,0.983437819942522,0.0127717422443033,0.00368090867876581
1,0,0,5,0,0,6,0,0,0,0,0,35,32,3,0,0,23.7714285714286,0,0,"http://rosettacode.org//wiki/Constrained_random_points_on_a_circle",0,0.863823992328845,0.128383499731402,0.007739777662349
0,0,1,1,0,0,1,0,0,0,0,0,10,10,0,0,0,16.8,0,0,"http://rosettacode.org//wiki/Loops/Continue",0,0.979476648207598,0.0158481734968022,0.00456755846235351
0,0,0,0,0,0,3,0,0,0,0,0,10,10,0,0,0,19.4,0,1,"http://rosettacode.org//wiki/Loops/Continue",0,0.979476648207598,0.0158481734968022,0.00456755846235351
0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,13.5,0,0,"http://rosettacode.org//wiki/Loops/Continue",0,0.999884401696705,0,0
0,0,0,0,0,0,0,4,0,0,0,0,5,4,4,3,0,32.6,3,0,"http://rosettacode.org//wiki/Non-decimal_radices/Convert",0.124193075379514,0.87590700590855,0,0
4,0,1,1,0,0,3,0,6,0,0,0,19,19,2,2,0,62.2105263157895,2,3,"http://rosettacode.org//wiki/Non-decimal_radices/Convert",0.0740861475871289,0.882426587728283,0.0313348279477905,0.0121832165622861
3,0,2,1,1,0,3,0,8,1,0,0,30,29,5,4,0,51.6,4,3,"http://rosettacode.org//wiki/Non-decimal_radices/Convert",0.154418469880819,0.768339364937708,0.0612994857057226,0.0161282379731937
2,0,2,14,0,0,11,5,1,1,1,0,90,90,0,0,0,29.7777777777778,0,0,"http://rosettacode.org/wiki/Conway%27s_Game_of_Life",0,0.662582909413605,0.261962673696759,0.0754995411493835
4,0,2,16,2,3,17,9,3,2,1,0,123,115,6,0,2,32.1219512195122,0,1.33333333333333,"http://rosettacode.org/wiki/Conway%27s_Game_of_Life",0,0.300985135497895,0.361097656358012,0.338135717027205
