"curly","dot.location","eqeqeq","vars.on.top","no.unused.vars","no.use.before.define","id.length","semi","max.len","max.statements","max.statements.per.line","no.bitwise","LOC","SLOC","comment","mixLOC","emptyLine","codePerLine","mixLOC.1","paremeter","Url","X1","X2","X3","X4","X5","X6"
0,0,0,0,0,0,1,0,1,0,0,0,10,9,0,0,1,35.1,0,2,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0,0,0,0.890843966362369,0,0.109112176755956
1,0,3,0,0,0,0,0,1,0,0,0,3,2,1,0,0,118,0,0,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0,0.00244267426736671,0.0292897306788996,0.968112195068895,7.11325420037485e-19,0
0,0,0,1,0,0,0,0,0,0,0,0,20,20,0,0,0,24.25,0,1,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0,0.156605080209131,0,0.843157261556165,0,0
1,0,1,1,0,0,6,1,1,0,0,0,16,16,0,0,0,28.9375,0,1,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0,0.123635589638789,0,0.876154397232366,0,0
0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,37.4285714285714,0,0,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0,0.0494542358555174,0,0.950397952503821,0,0
0,0,0,0,0,0,11,1,2,0,0,0,54,34,20,1,1,30.5925925925926,1,0,"http://rosettacode.org//wiki/9_billion_names_of_God_the_integer",0.0291270718523356,0,0.520803208267703,0.292511274572402,0.0405228271271403,0.116155268635653
0,0,0,0,0,0,0,4,0,0,0,0,10,10,0,0,0,24.5,0,0,"http://rosettacode.org/wiki/A%2BB",0,0.0741813537832726,0,0.925650100746671,0,0
3,0,0,6,0,0,2,0,1,0,0,0,34,23,10,0,1,38.0588235294118,0,2,"http://rosettacode.org//wiki/ABC_Problem",0,0.0235461872619438,0.287646266913401,0.571785640981639,0,0.116498069855653
1,0,0,1,1,2,7,1,0,0,0,0,38,33,3,0,2,33.0789473684211,0,0,"http://rosettacode.org//wiki/ABC_Problem",0,0.0470923745238869,0.0761467068405517,0.643624453954216,0,0.232996139711305
0,0,0,0,0,0,12,0,2,0,0,0,68,68,0,0,0,24.8970588235294,0,0,"http://rosettacode.org//wiki/AKS_test_for_primes",0,0.552238967053239,0,0.447191633441751,0,0
6,0,3,4,0,0,10,8,2,0,0,0,25,23,0,0,2,26.72,0,1,"http://rosettacode.org//wiki/AKS_test_for_primes",0,0,0,0.771490429742759,0,0.228530685537376
2,0,2,2,0,0,3,3,1,0,0,0,6,6,0,0,0,45.6666666666667,0,0,"http://rosettacode.org//wiki/Abundant_deficient_and_perfect_number_classifications",0,0.041211863212936,0,0.958647236422867,0,0
3,0,3,2,0,0,3,4,1,0,0,0,7,7,0,0,0,44.5714285714286,0,0,"http://rosettacode.org//wiki/Abundant_deficient_and_perfect_number_classifications",0,0.0494542358555174,0,0.950397952503821,0,0
11,0,3,12,0,1,18,24,2,0,0,0,54,51,0,0,3,23.1481481481481,0,1.66666666666667,"http://rosettacode.org//wiki/Abundant_deficient_and_perfect_number_classifications",0,0.108895831989791,0,0.541826495079801,0,0.349272755232063
0,0,0,1,0,0,2,1,0,0,0,0,9,9,0,0,0,19.6666666666667,0,1,"http://rosettacode.org//wiki/Accumulator_factory",0,0.0659389811406856,0,0.933899384665723,0,0
0,0,0,0,1,0,2,0,0,0,0,0,3,3,0,0,0,30,0,2,"http://rosettacode.org//wiki/Ackermann_function",0,0.0164847452851751,0,0.983395088180022,0,0
0,0,0,1,1,0,0,4,0,0,0,0,29,28,0,0,1,23.3448275862069,0,1,"http://rosettacode.org//wiki/Active_object",0,0.121495088878795,0,0.761965804116439,0,0.116395115680833
0,0,0,0,0,0,1,3,0,0,0,0,3,3,2,2,0,24.6666666666667,2,0,"http://rosettacode.org//wiki/Add_a_variable_to_a_class_instance_at_runtime",0,0,0,0.920008856624254,0.0799412031045128,0
5,0,2,0,0,0,3,4,0,0,0,0,40,40,0,0,0,38.25,0,0,"http://rosettacode.org//wiki/Align_columns",0,0.321452533060837,0,0.678171583175165,0,0
0,0,0,1,2,0,0,1,2,0,0,2,56,52,5,1,0,40.0178571428571,1,0,"http://rosettacode.org//wiki/Align_columns",0,0.389081131587942,0.0983669515826299,0.470103903853871,0.0418855942858383,0
2,8,0,2,0,3,16,4,1,1,0,2,111,99,12,0,0,29.4504504504505,0,0,"http://rosettacode.org//wiki/Align_columns",0.0471403898342915,0.659877178423503,0.291805055997971,0,0,0
3,0,6,6,0,1,2,0,0,1,0,0,51,49,1,1,2,24.8235294117647,1,1,"http://rosettacode.org//wiki/Amb",0,0.18270265420648,0,0.548498705266032,0.0358740707421601,0.232817820813308
2,0,0,2,0,1,15,1,0,0,0,1,54,48,6,0,0,32.5555555555556,0,0,"http://rosettacode.org//wiki/Amicable_pairs",0,0.355164838475042,0.165731059424774,0.478433223674202,4.35864180036254e-21,0
0,0,0,0,0,0,0,1,0,0,0,0,10,10,0,0,0,14.1,0,0,"http://rosettacode.org//wiki/Amicable_pairs",0,0.0741813537832726,0,0.925650100746671,0,0
0,0,0,2,0,0,1,0,2,0,0,0,20,19,4,3,0,36.2,3,0,"http://rosettacode.org//wiki/Anagrams",1.76328008815094e-16,0.110542506701208,0.00317987231485486,0.760503071538097,0.125656782857515,0
0,0,0,0,0,0,0,0,0,0,0,0,25,22,3,0,0,31.28,0,0,"http://rosettacode.org//wiki/Anagrams",0,0.156819687964911,0.0834757324348644,0.759332443910097,0,0
0,0,0,4,3,0,1,0,2,1,0,0,41,41,0,0,0,38.9268292682927,0,5,"http://rosettacode.org//wiki/Animate_a_pendulum",0,0.32969490570343,0,0.669922299256108,0,0
4,0,1,8,3,2,1,0,0,0,0,0,50,44,5,5,6,21.98,5,0,"http://rosettacode.org//wiki/Animate_a_pendulum",0,0,0,0.183254961485599,0.182557202392102,0.634575878020308
2,0,0,0,1,0,0,0,0,0,0,0,16,16,1,1,0,30.375,1,1,"http://rosettacode.org//wiki/Animation",0,0.111603756223497,0,0.848850969709629,0.039372646751113,0
0,0,0,0,1,0,2,0,0,0,0,0,8,8,0,0,0,24.75,0,1,"http://rosettacode.org//wiki/Anonymous_recursion",0,0.0576966084981043,0,0.942148668584769,0,0
0,0,0,0,1,0,2,0,0,0,0,0,8,8,0,0,0,22,0,1,"http://rosettacode.org//wiki/Anonymous_recursion",0,0.0576966084981043,0,0.942148668584769,0,0
0,0,0,1,0,0,3,0,0,0,0,0,10,10,0,0,0,18.3,0,2,"http://rosettacode.org//wiki/Apply_a_callback_to_an_array",0,0.0741813537832726,0,0.925650100746671,0,0
0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,17.6666666666667,0,0,"http://rosettacode.org//wiki/Apply_a_callback_to_an_array",0,0.0164847452851751,0,0.983395088180022,0,0
0,0,0,0,0,0,2,1,0,0,0,0,4,4,0,0,0,15.5,0,0,"http://rosettacode.org//wiki/Apply_a_callback_to_an_array",0,0.0247271179277563,0,0.975145804260976,0,0
0,0,0,0,0,0,0,1,0,0,0,0,9,9,0,0,0,24.4444444444444,0,2,"http://rosettacode.org//wiki/Arithmetic-geometric_mean",0,0.0659389811406856,0,0.933899384665723,0,0
0,0,1,7,1,6,11,0,2,1,0,0,50,45,0,0,5,29.4,0,1,"http://rosettacode.org//wiki/Arithmetic_evaluation",0,0,0,0.447775976430103,0,0.552431771796759
0,0,0,0,0,0,1,0,0,0,0,0,10,10,2,2,0,22.2,2,1,"http://rosettacode.org//wiki/Averages/Arithmetic_mean",0,0.0497078258876333,0,0.870281496694428,0.0799182450570498,0
0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,1,0,23.125,1,1,"http://rosettacode.org//wiki/Averages/Arithmetic_mean",0,0.0455086375342141,0,0.914555050964221,0.0398194854386649,0
0,0,0,0,0,0,1,0,0,0,0,0,8,8,2,2,0,26,2,1,"http://rosettacode.org//wiki/Averages/Arithmetic_mean",0,0.033184046215317,0,0.886707517008071,0.0800299547289378,0
0,0,0,0,0,0,1,1,0,0,0,0,8,8,2,2,0,27.625,2,0,"http://rosettacode.org//wiki/Averages/Arithmetic_mean",0,0.033184046215317,0,0.886707517008071,0.0800299547289378,0
0,0,0,0,1,0,1,0,0,0,0,0,3,3,0,0,0,28.3333333333333,0,1,"http://rosettacode.org//wiki/Averages/Arithmetic_mean",0,0.0164847452851751,0,0.983395088180022,0,0
0,0,0,0,1,0,3,0,0,0,0,0,3,3,1,1,0,25,1,0,"http://rosettacode.org//wiki/Array_concatenation",0,0.00419918835342036,0,0.955620101748333,0.0400987596183849,0
0,0,0,0,0,0,0,0,0,0,0,0,14,13,1,0,0,20.7857142857143,0,0,"http://rosettacode.org//wiki/Array_concatenation",0,0.0937986918668606,0.0266048387000005,0.879368577187581,5.12441497307525e-18,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,40,0,0,"http://rosettacode.org//wiki/Array_length",0,1.06891933418362e-15,0,0.999893656018125,0,0
0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,17.3333333333333,0,1,"http://rosettacode.org//wiki/Array_length",0,0.0164847452851751,0,0.983395088180022,0,0
0,0,0,0,1,0,2,0,0,0,0,0,5,5,0,0,0,17.8,0,1,"http://rosettacode.org//wiki/Array_length",0,0.0329694905703491,0,0.966896520341919,0,0
0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,32.6666666666667,0,2,"http://rosettacode.org//wiki/Array_length",0,0.0164847452851751,0,0.983395088180022,0,0
0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,27,0,2,"http://rosettacode.org//wiki/Array_length",0,0.0164847452851751,0,0.983395088180022,0,0
0,0,0,0,0,0,1,0,0,0,0,0,3,3,1,1,0,27,1,0,"http://rosettacode.org//wiki/Array_map",0,0.00419918835342036,0,0.955620101748333,0.0400987596183849,0
0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,0,0,37.3333333333333,0,0,"http://rosettacode.org//wiki/Array_map",0,0.00244267426736671,0.0292897306788996,0.968112195068895,7.11325420037485e-19,0
0,0,0,0,0,0,0,1,0,0,0,0,31,31,0,0,0,16.8387096774194,0,0,"http://rosettacode.org//wiki/Array_search",0,0.247271179277571,0,0.752415138446613,0,0
0,0,1,0,0,0,0,1,2,0,0,0,11,11,2,2,0,39.7272727272727,2,0,"http://rosettacode.org//wiki/Array_search",0,0.0579697157237944,0,0.862068486537603,0.0798623902211059,0
0,0,0,0,0,0,0,1,0,0,0,0,6,6,0,0,0,5.33333333333333,0,0,"http://rosettacode.org//wiki/Array_search",0,0.041211863212936,0,0.958647236422867,0,0
0,0,0,0,0,0,0,1,0,0,0,0,11,11,1,1,0,19.7272727272727,1,0,"http://rosettacode.org//wiki/Array_search",0,0.0702943070427029,0,0.889916020493742,0.0396519209308329,0
0,0,0,2,4,0,2,0,1,0,0,0,15,8,9,2,0,42.6666666666667,2,0,"http://rosettacode.org//wiki/Arrays",0,0,0.189850541009038,0.726122731211939,0.0836738253798719,0
1,0,1,2,0,0,8,10,0,0,0,2,22,21,0,0,1,23.2727272727273,0,1,"http://rosettacode.org//wiki/Balanced_brackets",0,0.063781345571501,0,0.819708215837958,0,0.11641485301396
0,0,0,1,1,0,6,1,0,1,0,0,42,36,7,1,0,27.2619047619048,1,2,"http://rosettacode.org//wiki/Barnsley_fern",0,0.244474814959866,0.161339872542264,0.55175781121574,0.0418855942858384,0
1,0,2,5,0,0,14,2,15,1,0,6,77,68,19,13,3,45.1688311688312,13,0,"http://rosettacode.org//wiki/Base64_encode_data",0.0434996246735645,0,0.0253989478042491,0.0405717812016417,0.541917358465794,0.348985436565903
0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,140,1,0,"http://rosettacode.org//wiki/Base64_encode_data",0,0,0,0.960270143975815,0.0396522486518429,0
0,0,0,0,2,0,0,1,1,0,0,0,14,14,1,1,0,24.4285714285714,1,0,"http://rosettacode.org//wiki/Base64_encode_data",0,0.0950799765511747,0,0.865276990023279,0.039484356423001,0
10,0,2,19,1,0,16,0,1,1,0,0,49,46,1,1,3,27.0408163265306,1,1,"http://rosettacode.org//wiki/Best_shuffle",0,0.0570749075143517,0,0.558466041726761,0.0352133744804361,0.349307991759661
0,0,0,2,0,0,1,0,1,0,0,0,7,7,1,1,0,33.2857142857143,1,1,"http://rosettacode.org//wiki/Binary_digits",0,0.0372467476980588,0,0.92276806112104,0.0398753402746088,0
0,0,0,0,0,0,1,1,0,0,0,0,5,5,0,0,0,19.2,0,0,"http://rosettacode.org//wiki/Binary_digits",0,0.0329694905703491,0,0.966896520341919,0,0
0,0,0,1,1,0,1,0,0,0,0,0,13,13,0,0,0,25.7692307692308,0,4,"http://rosettacode.org//wiki/Binary_search",0,0.098908471711028,0,0.900902248989522,0,0
0,0,0,0,1,0,2,0,0,0,0,0,15,15,0,0,0,22.4666666666667,0,2,"http://rosettacode.org//wiki/Binary_search",0,0.115393216996208,0,0.884403681151413,0,0
0,0,4,0,0,0,0,2,8,0,0,0,45,31,39,25,0,59.2888888888889,25,0,"http://rosettacode.org//wiki/Binary_strings",0,0,0,0,1.00101972929732,0
0,0,0,1,0,0,0,0,0,0,0,0,24,16,9,1,0,32.4166666666667,1,0,"http://rosettacode.org//wiki/Bitmap",5.03912311959239e-16,0.0666481282956082,0.225289117857862,0.665682125079906,0.0418855942858384,0
0,0,0,0,1,0,2,0,0,0,0,7,9,9,3,3,0,34.7777777777778,3,2,"http://rosettacode.org//wiki/Bitwise_operations",0,0.0291213447325809,0,0.850646972895098,0.120184569183267,0
1,0,1,2,0,0,7,2,1,0,0,0,20,20,0,0,0,22.05,0,0,"http://rosettacode.org//wiki/Sorting_algorithms/Bogosort",0,0.156605080209131,0,0.843157261556165,0,0
1,0,1,19,0,0,16,1,4,1,0,0,166,165,16,16,1,22.6566265060241,16,0,"http://rosettacode.org//wiki/Knapsack_problem/Bounded",0.302321807066022,0.0733172106668826,0,0,0.531034677784721,0.093504531275829
0,0,0,1,0,0,5,0,2,1,0,0,39,38,0,0,1,33.2051282051282,0,2,"http://rosettacode.org//wiki/Box_the_compass",0,0.203943293603499,0,0.679476644514268,0,0.116366919490651
3,0,0,4,0,6,22,2,1,1,0,0,133,113,20,0,0,35.0601503759398,0,0,"http://rosettacode.org//wiki/Brace_expansion",0.23662026845396,0.392927662419604,0.369181940032964,0,0,0
1,0,1,1,0,0,1,0,0,0,0,0,8,8,0,0,0,18.625,0,0,"http://rosettacode.org//wiki/Loops/Break",0,0.0576966084981043,0,0.942148668584769,0,0
1,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,26.6666666666667,0,0,"http://rosettacode.org//wiki/Loops/Break",0,0.0659389811406856,0,0.933899384665723,0,0
1,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,25,0,0,"http://rosettacode.org//wiki/Loops/Break",0,0.0906660990684409,0,0.909151532908574,0,0
1,0,0,1,1,0,0,0,0,1,0,0,20,20,0,0,0,22.7,0,4,"http://rosettacode.org/wiki/Bitmap/Bresenham%27s_line_algorithm",0,0.156605080209131,0,0.843157261556165,0,0
3,0,3,10,1,0,14,0,6,2,0,0,142,109,30,1,4,34.1056338028169,1,2,"http://rosettacode.org//wiki/Brownian_tree",0.250678935203989,0,0.388712466915616,0,0.0238418859376757,0.336249731791744
0,0,0,2,0,0,1,1,0,0,0,0,15,15,0,0,0,24.4666666666667,0,0,"http://rosettacode.org//wiki/Sorting_algorithms/Bubble_sort",0,0.115393216996208,0,0.884403681151413,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,27.6666666666667,0,0,"http://rosettacode.org//wiki/Sorting_algorithms/Bubble_sort",0,0.0164847452851751,0,0.983395088180022,0,0
0,6,0,0,0,0,0,1,1,0,0,0,20,20,0,0,0,39.8,0,0,"http://rosettacode.org//wiki/CSV_to_HTML_translation",0,0.156605080209131,0,0.843157261556165,0,0
0,0,0,2,0,0,2,0,1,0,0,0,10,9,1,0,0,31.2,0,2,"http://rosettacode.org//wiki/Caesar_cipher",0,0.0605783218306862,0.0275811630559635,0.911638983689872,1.79520822868331e-18,0
0,0,0,0,0,0,0,3,0,0,0,0,5,5,2,2,0,15.6,2,0,"http://rosettacode.org//wiki/Call_a_function",0,0.00839837670683959,0,0.91134654747854,0.0801975192367698,0
0,0,0,0,1,0,1,1,0,0,0,0,3,3,1,1,0,24.3333333333333,1,0,"http://rosettacode.org//wiki/Call_a_function",0,0.00419918835342036,0,0.955620101748333,0.0400987596183849,0
0,0,0,0,0,0,2,3,0,0,0,0,7,7,1,1,0,18.5714285714286,1,0,"http://rosettacode.org//wiki/Call_a_function",0,0.0372467476980588,0,0.92276806112104,0.0398753402746088,0
0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,26.75,0,0,"http://rosettacode.org//wiki/Call_a_function",0,0.0247271179277563,0,0.975145804260976,0,0
0,0,0,0,0,0,0,1,0,0,0,0,6,6,1,1,0,22.6666666666667,1,0,"http://rosettacode.org//wiki/Call_a_function",0,0.0289848578618977,0,0.930981071277864,0.0399311951105529,0
0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,5,0,0,"http://rosettacode.org//wiki/Call_an_object_method",0,1.06891933418362e-15,0,0.999893656018125,0,0
0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,0,36,0,0,"http://rosettacode.org//wiki/Case-sensitivity_of_identifiers",0,0.0247271179277563,0,0.975145804260976,0,0
7,0,3,6,0,7,12,20,3,1,0,0,41,37,0,0,4,32.6341463414634,0,4,"http://rosettacode.org//wiki/Casting_out_nines",0,0,0,0.556825666085859,0,0.443319595040803
4,0,2,4,0,0,9,0,0,0,0,0,33,29,0,0,4,22.7575757575758,0,1,"http://rosettacode.org//wiki/Catalan_numbers",0,0,0,0.570564128704331,0,0.429577819006851
0,0,0,3,0,0,4,0,0,0,0,0,13,11,0,0,2,21.0769230769231,0,2,"http://rosettacode.org//wiki/Catamorphism",0,0,0,0.792098123670464,0,0.20791802148645
0,0,0,0,0,0,4,0,0,0,0,0,17,14,3,0,0,29.0588235294118,0,0,"http://rosettacode.org//wiki/Catamorphism",0,0.0903789478925509,0.0854283811467909,0.823873256914689,6.01232892017597e-19,0
0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,48.5,2,0,"http://rosettacode.org//wiki/Character_codes",0,0,0,0.920327744278879,0.0796228502040992,0
0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,41,0,0,"http://rosettacode.org//wiki/Character_codes",0,1.06891933418362e-15,0,0.999893656018125,0,0
0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,15,0,0,"http://rosettacode.org//wiki/Character_codes",0,1.06891933418362e-15,0,0.999893656018125,0,0
0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,23.3333333333333,0,0,"http://rosettacode.org//wiki/Character_codes",0,0.0164847452851751,0,0.983395088180022,0,0
0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,11,0,0,"http://rosettacode.org//wiki/Character_codes",0,1.06891933418362e-15,0,0.999893656018125,0,0
0,0,4,3,0,2,1,1,1,0,0,0,129,110,19,0,0,36.0077519379845,0,1,"http://rosettacode.org//wiki/Chat_server",0.206621838559414,0.427121174037726,0.364995386938344,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,34,0,0,"http://rosettacode.org//wiki/Check_that_file_exists",0,0.0329694905703491,0,0.966896520341919,0,0
0,0,0,2,0,0,1,1,2,0,0,0,23,21,7,6,1,34.8260869565217,6,2,"http://rosettacode.org//wiki/Classes",0,0,0,0.640144128915426,0.245717548547766,0.114265348022768
0,0,0,4,1,0,4,0,0,0,0,0,26,25,0,0,1,27.6153846153846,0,1.5,"http://rosettacode.org//wiki/Closest-pair_problem",0,0.0967606274613839,0,0.786712551997089,0,0.116403574537887
5,0,0,20,0,0,30,4,5,2,0,0,120,116,6,2,0,32.1833333333333,2,0,"http://rosettacode.org//wiki/Closest-pair_problem",0.0438023941564706,0.832189143222261,0.0408694812677262,0,0.0822793063201283,0
0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,19,0,0,"http://rosettacode.org//wiki/Collections",0,0.0329694905703491,0,0.966896520341919,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,3,0,40.6,3,0,"http://rosettacode.org//wiki/Collections",0,0,0,0.879747569272692,0.120230157557183,0
5,0,1,3,0,0,9,2,0,0,0,4,20,18,0,0,2,18.15,0,1.33333333333333,"http://rosettacode.org//wiki/Combinations",0,0,0,0.780076968879302,0,0.219942075516157
0,0,0,0,0,0,2,0,2,0,0,0,24,22,2,0,0,33.875,0,2,"http://rosettacode.org//wiki/Combinations",0,0.162682106206592,0.0539419206669736,0.783046303233752,0,0
2,1,0,1,0,0,8,0,0,0,0,0,23,22,1,0,0,24.304347826087,0,0,"http://rosettacode.org//wiki/Combinations",0,0.168544524448267,0.0244081088990828,0.806760162557413,4.07114502242193e-18,0
3,1,0,2,1,0,10,1,0,0,0,0,38,35,3,0,0,25.7368421052632,0,0,"http://rosettacode.org//wiki/Combinations",0,0.264785890582498,0.0803026782779836,0.654453622777632,0,0
1,0,1,1,0,0,4,0,1,0,0,0,20,19,0,0,1,28,0,3,"http://rosettacode.org//wiki/Combinations_with_repetitions",0,0.0472917046265568,0,0.836206047758396,0,0.116420492251996
1,0,0,0,1,0,7,1,0,0,0,0,37,31,6,0,0,29.5405405405405,0,0,"http://rosettacode.org//wiki/Combinations_with_repetitions",0,0.213978265821281,0.169880437937619,0.615582451308957,6.20957187996981e-21,0
0,0,0,0,0,0,0,1,0,0,0,0,11,11,0,0,0,15.3636363636364,0,0,"http://rosettacode.org//wiki/Combinations_with_repetitions",0,0.0824237264258596,0,0.91740081682762,0,0
0,0,0,0,0,0,1,0,0,0,0,0,17,17,0,0,0,19,0,1,"http://rosettacode.org//wiki/Comma_quibbling",0,0.13187796228137,0,0.867905113313321,0,0
1,0,0,1,0,0,1,0,0,0,0,0,3,3,0,0,0,35.3333333333333,0,0,"http://rosettacode.org//wiki/Command-line_arguments",0,0.0164847452851751,0,0.983395088180022,0,0
1,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,33,0,0,"http://rosettacode.org//wiki/Command-line_arguments",0,0.00824237264258803,0,0.991644372099074,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,31,1,0,"http://rosettacode.org//wiki/Comments",0,0,0,0.960270143975815,0.0396522486518429,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,53,0,0,"http://rosettacode.org//wiki/Comments",0,0,0.0279939720775455,0.971856017997881,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,16.3333333333333,0,0,"http://rosettacode.org//wiki/Comments",0,0,0.171972160339063,0.827649382782017,0,0
0,0,0,1,0,0,6,0,0,0,0,0,29,28,8,8,1,23.2413793103448,8,1,"http://rosettacode.org//wiki/Compare_a_list_of_strings",0,0.0240843538468856,0,0.540756165541872,0.319351125243147,0.115967867988333
0,0,0,2,0,0,27,8,0,0,0,0,42,41,1,0,0,29.3809523809524,0,2,"http://rosettacode.org//wiki/Arithmetic/Complex",0,0.326341282120133,0.0197705682082571,0.653475731671496,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,27.5,0,0,"http://rosettacode.org//wiki/Concurrent_computing",0,0.0247271179277563,0,0.975145804260976,0,0
0,0,0,1,0,0,1,0,0,0,0,0,9,9,0,0,0,32.6666666666667,0,0,"http://rosettacode.org//wiki/Concurrent_computing",0,0.0659389811406856,0,0.933899384665723,0,0
0,0,2,0,0,0,0,0,0,0,0,0,7,7,0,0,0,13.8571428571429,0,0,"http://rosettacode.org//wiki/Conditional_structures",0,0.0494542358555174,0,0.950397952503821,0,0
0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,13.7333333333333,0,0,"http://rosettacode.org//wiki/Conditional_structures",0,0.115393216996208,0,0.884403681151413,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,46,0,0,"http://rosettacode.org//wiki/Conditional_structures",0,1.06891933418362e-15,0,0.999893656018125,0,0
0,0,0,0,1,0,0,0,0,0,0,0,9,9,0,0,0,25.4444444444444,0,2,"http://rosettacode.org//wiki/Conditional_structures",0,0.0659389811406856,0,0.933899384665723,0,0
1,0,0,5,0,0,6,0,0,0,0,0,35,32,3,0,0,23.7714285714286,0,0,"http://rosettacode.org//wiki/Constrained_random_points_on_a_circle",0,0.239870613055364,0.081034921544956,0.678656427654353,5.73191250458671e-21,0
0,0,1,1,0,0,1,0,0,0,0,0,10,10,0,0,0,16.8,0,0,"http://rosettacode.org//wiki/Loops/Continue",0,0.0741813537832726,0,0.925650100746671,0,0
