"no.cond.assign","no.constant.condition","no.empty","no.irregular.whitespace","complexity","curly","dot.location","eqeqeq","vars.on.top","no.undef","no.unused.vars","no.use.before.define","id.length","semi","max.depth","max.len","max.params","max.statements","max.statements.per.line","no.bitwise","LOC","SLOC","comment","mixLOC","emptyLine","mixLOC.1","codePerLine","paremeter","Url","X1","X2","X3","X4","X5"
0,0,0,1,0,1,2,0,1,0,0,0,3,1,0,0,0,0,0,0,18,16,2,0,0,0,26.5,1,"http://rosettacode.org//wiki/Sorting_algorithms/Quicksort",0.00865533719790106,0,0.192809474586671,0.797938254300979,0
0,0,0,1,0,0,0,0,1,1,0,0,9,0,0,1,1,0,0,0,31,27,2,0,2,0,26.64516129,2.333333333,"http://rosettacode.org//wiki/Runge-Kutta_method",0,0.414019422484162,0.10891318974422,0.475893736423858,0
0,0,0,1,0,0,0,0,0,0,0,2,10,0,0,2,0,0,0,2,48,32,16,0,0,0,34.20833333,0,"http://rosettacode.org//wiki/Sierpinski_carpet",0.0236803975353008,0.0566143650039877,0.182227880311717,0.73672219613297,0
0,0,0,1,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,21,19,2,0,0,0,29.47619048,0,"http://rosettacode.org//wiki/Sort_disjoint_sublist",0,0,0.221682368791714,0.777767634936628,0
0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,2,0,0,0,0,8,8,2,2,0,2,47.625,1,"http://rosettacode.org//wiki/Strip_comments_from_a_string",0.00811891203342683,0,0.131017916017131,0.859638506967191,0.000618996690686275
0,0,0,1,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,21,17,4,0,0,0,27.33333333,0,"http://rosettacode.org//wiki/Sum_digits_of_an_integer",0,0,0.277953281302035,0.721512505104372,0
0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,14,13,1,0,0,0,25.71428571,0,"http://rosettacode.org//wiki/Towers_of_Hanoi",0,0.358483996653357,0.132110978850825,0.508329667373964,0
0,1,0,0,1,5,5,0,3,2,0,0,4,0,0,7,0,1,0,0,49,45,4,0,0,0,34.83673469,2,"http://rosettacode.org//wiki/24_game",0.316704741330261,0,0.142720198127939,0.538746406055166,0
0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,20,20,0,0,0,0,22.7,4,"http://rosettacode.org/wiki/Bitmap/Bresenham%27s_line_algorithm",0.0377617897538296,0.557080958030732,0,0.400785782982014,0.00281981205973413
0,1,0,0,2,8,0,2,13,3,1,0,11,0,0,35,0,4,0,2,200,163,44,8,1,8,35.415,2.5,"http://rosettacode.org//wiki/Evolutionary_algorithm",0.789285123777055,0.206877727100733,0,0,0
0,1,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,19,19,0,0,0,0,15.31578947,2,"http://rosettacode.org//wiki/Greatest_common_divisor",0.137777102514573,0.0935959624620674,0,0.762388727798401,0.00497663082553011
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,33,0,"http://rosettacode.org//wiki/Loops/Infinite",0.0724785159188222,0,0,0.926654001264808,0
0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,20.33333333,0,"http://rosettacode.org//wiki/Literals/Integer",0.117248931087195,0,0,0.881707648961359,0
0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,17.33333333,0,"http://rosettacode.org//wiki/Integer_sequence",0.0768116858672924,0,0,0.922302506727209,0
0,1,0,0,0,2,0,0,4,4,0,0,1,0,0,3,0,1,0,0,18,18,0,0,0,0,32.77777778,2,"http://rosettacode.org//wiki/Menu",0.192953027671147,0,0,0.804549738235243,0.00114358205149912
0,1,0,0,1,7,0,0,2,6,1,0,1,0,0,0,0,1,0,0,33,33,0,0,0,0,27.12121212,2,"http://rosettacode.org//wiki/Prime_decomposition",0.338755549178869,0,0,0.659319871620674,0
0,1,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,14,13,0,0,1,0,19.35714286,0,"http://rosettacode.org//wiki/Seven-sided_dice_from_five-sided_dice",0.0903675756705537,0,0,0.908694273470741,0
0,1,0,0,0,0,0,0,1,2,0,0,5,0,0,0,0,1,0,0,17,15,0,0,2,0,18.94117647,0,"http://rosettacode.org//wiki/Short-circuit_evaluation",0.109781382191625,0,0,0.885125467621,0.00407535441787976
0,1,0,0,2,10,0,3,1,2,0,0,24,3,0,0,0,5,0,5,127,118,0,0,9,0,17.59055118,1,"http://rosettacode.org//wiki/24_game/Solve",0.739861243112774,0.0033729554099202,0.00708285526480773,0.246124118152255,0
0,1,0,0,0,0,0,0,2,8,0,0,8,2,0,5,0,0,0,0,51,39,15,3,0,3,22.88235294,0.166666667,"http://rosettacode.org//wiki/Variables",0.17550189634587,0,0.00164005440415559,0.821566810251642,0
0,0,0,0,1,1,0,0,8,10,0,0,14,0,0,18,0,4,0,0,271,243,28,0,0,0,23.93726937,0,"http://rosettacode.org//wiki/Knapsack_problem/0-1",0.358827243674375,0.366979996583416,0.0196980069829819,0.243954170693183,0.0079640121011625
0,0,0,0,1,0,0,1,3,3,0,5,0,0,0,6,0,1,0,0,62,60,2,1,1,1,31.24193548,1.5,"http://rosettacode.org//wiki/Text_processing/1",0.123680112005831,0.24790040220821,0.0762643537435195,0.548599634422724,0.00211174588563464
0,0,0,0,0,4,0,0,4,1,1,0,4,1,0,1,0,0,0,0,8,8,3,3,0,3,40.25,0,"http://rosettacode.org//wiki/100_doors",0.141372459080302,0.055468018701271,0,0.801924564257944,0
0,0,0,0,0,0,0,0,0,0,0,2,12,2,0,3,0,0,0,0,36,31,5,0,0,0,31.75,0,"http://rosettacode.org//wiki/100_doors",0.0435279232778643,0.104647844988052,0.0574656065626446,0.793434929566556,0
0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,6,6,0,0,0,0,25.5,0,"http://rosettacode.org//wiki/100_doors",0.0166984759504351,0,0,0.981929136505657,0.000718035317226808
0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,3,3,1,1,0,1,32,0,"http://rosettacode.org//wiki/100_doors",0.00543064117452477,0.0839466904550512,0,0.90988606677604,0
0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,1,12,12,0,0,0,0,21.58333333,0,"http://rosettacode.org//wiki/100_doors",0,0,0.062203407213236,0.937215824568685,0
0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,3,0,1,0,0,28,28,0,0,0,0,24.89285714,0,"http://rosettacode.org//wiki/100_doors",0.0118481385872346,0.220014257464795,0.0833450428758472,0.683824707746068,0
0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,14,13,1,0,0,0,23.57142857,0,"http://rosettacode.org//wiki/100_doors",0.00403496607444866,0.0438917119235845,0.02685362668956,0.924545828789603,0
0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,11,10,1,0,0,0,23.81818182,0,"http://rosettacode.org//wiki/100_doors",0.00403496607444866,0.0438917119235845,0.02685362668956,0.924545828789603,0
0,0,0,0,1,3,0,2,7,5,0,1,0,1,0,3,0,2,0,0,46,44,2,1,1,1,33.26086957,1.5,"http://rosettacode.org//wiki/Text_processing/2",0.303713343754142,0.0705195511902204,0,0.617806703764635,0.00606933373742026
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,25,0,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0,0,0,0.998682253917616,0.000729693912265332
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,10,9,0,0,1,0,35.1,2,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0.000151569850771546,0,0.00252487540281609,0.996730875930669,0
0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,1,0,0,0,0,3,2,1,0,0,0,118,0,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0.0841282575455379,0,0,0.914951104039799,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,24.25,1,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0,0,0,0.998682253917616,0.000729693912265332
0,0,0,0,0,1,0,1,1,12,0,0,6,1,0,1,0,1,0,0,16,16,0,0,0,0,28.9375,1,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0.147737129901619,0,0.000231692014796395,0.850845674976782,0
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,7,7,0,0,0,0,37.42857143,0,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0.0135284673359061,0,0,0.985826027944049,0
0,0,0,0,1,0,0,0,0,8,0,0,11,1,0,4,0,2,0,0,54,34,20,1,1,1,30.59259259,0,"http://rosettacode.org//wiki/9_billion_names_of_God_the_integer",0.167370175921776,0.136921049618175,0.0103795935921819,0.680522532851907,0.00334074789632548
0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,1,0,0,0,0,10,10,0,0,0,0,24.5,0,"http://rosettacode.org/wiki/A%2BB",0.0272824361775218,0,0,0.972020847875781,0
0,0,0,0,0,3,0,0,6,1,0,0,2,0,0,9,0,1,0,0,34,23,10,0,1,0,38.05882353,2,"http://rosettacode.org//wiki/ABC_Problem",0.182288573374232,0.0803985002514463,0.0056408843858733,0.730225991219987,0
0,0,0,0,1,1,0,0,1,0,1,2,7,1,0,4,0,1,0,0,38,33,3,0,2,0,33.07894737,0,"http://rosettacode.org//wiki/ABC_Problem",0.114189571728432,0.265645131868329,0.0295695830733292,0.589148125471051,0
0,0,0,0,1,0,0,0,0,3,0,0,12,0,0,3,0,4,0,0,68,68,0,0,0,0,24.89705882,0,"http://rosettacode.org//wiki/AKS_test_for_primes",0.155831882887387,0.252639524840884,0.0165488313047693,0.56262903350323,0.0107734654788451
0,0,0,0,1,6,0,3,4,3,0,0,10,8,0,2,0,0,0,0,25,23,0,0,2,0,26.72,1,"http://rosettacode.org//wiki/AKS_test_for_primes",0.39537006993057,0,0,0.602477264657876,0
0,0,0,0,0,2,0,2,2,1,0,0,3,3,0,1,0,0,0,0,6,6,0,0,0,0,45.66666667,0,"http://rosettacode.org//wiki/Abundant_deficient_and_perfect_number_classifications",0.134042240151907,0,0,0.864837853910994,0
0,0,0,0,0,3,0,3,2,1,0,0,3,4,0,1,0,0,0,0,7,7,0,0,0,0,44.57142857,0,"http://rosettacode.org//wiki/Abundant_deficient_and_perfect_number_classifications",0.183122950336721,0,0,0.815565948333345,0
0,0,0,0,2,11,0,3,12,1,0,1,18,24,0,4,0,2,0,0,54,51,0,0,3,0,23.14814815,1.666666667,"http://rosettacode.org//wiki/Abundant_deficient_and_perfect_number_classifications",0.830262682147268,0,0.0164483000532652,0.149399656566673,0
0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,9,9,0,0,0,0,19.66666667,1,"http://rosettacode.org//wiki/Accumulator_factory",0.0184178741183767,0,0.00134750486148268,0.979308428443668,0.000262465020424808
0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,3,3,0,0,0,0,30,2,"http://rosettacode.org//wiki/Ackermann_function",0,0.0991661610275367,0,0.900096758351998,0
0,0,0,0,0,0,0,0,1,2,1,0,0,4,0,0,0,2,0,0,29,28,0,0,1,0,23.34482759,1,"http://rosettacode.org//wiki/Active_object",0.0429124338567066,0.169825123471025,0,0.781611140733174,0.00464398135326517
0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,3,3,2,2,0,2,24.66666667,0,"http://rosettacode.org//wiki/Add_a_variable_to_a_class_instance_at_runtime",0.0195993105780717,0,0,0.979734157337297,0
0,0,0,0,0,5,0,2,0,1,0,0,3,4,2,7,0,0,0,0,40,40,0,0,0,0,38.25,0,"http://rosettacode.org//wiki/Align_columns",0.279706432285276,0,0,0.714335615765566,0.00427999209957182
0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,12,0,1,0,2,56,52,5,1,0,1,40.01785714,0,"http://rosettacode.org//wiki/Align_columns",0.0500109230609229,0.33961650849386,0,0.609062681615322,0
0,0,0,0,0,2,8,0,2,0,0,3,16,4,0,9,0,2,0,2,111,99,12,0,0,0,29.45045045,0,"http://rosettacode.org//wiki/Align_columns",0.178145389189552,0.190110599916118,0.331537049886196,0.298644126116136,0
0,0,0,0,0,2,0,0,2,0,0,1,15,1,0,4,1,1,0,1,54,48,6,0,0,0,32.55555556,0,"http://rosettacode.org//wiki/Amicable_pairs",0.0237316673995222,0.610896095906821,0.0129064082859558,0.35085934924857,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,10,0,0,0,0,14.1,0,"http://rosettacode.org//wiki/Amicable_pairs",0,0,0,0.999413012674469,0
0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,5,0,0,0,0,20,19,4,3,0,3,36.2,0,"http://rosettacode.org//wiki/Anagrams",0.0418102920334417,0.0282596781046964,0.00382799523893287,0.925297950782878,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,25,22,3,0,0,0,31.28,0,"http://rosettacode.org//wiki/Anagrams",0.0281131589420673,0.0955536667043707,0.00363398904680683,0.86712064942051,0.00473853634190124
0,0,0,0,0,0,0,0,4,2,3,0,1,0,0,6,1,2,0,0,41,41,0,0,0,0,38.92682927,5,"http://rosettacode.org//wiki/Animate_a_pendulum",0,0.901145125707581,0,0.0969354678942503,0
0,0,0,0,0,4,0,1,8,8,3,2,1,0,0,1,0,2,0,0,50,44,5,5,6,5,21.98,0,"http://rosettacode.org//wiki/Animate_a_pendulum",0.201397030550885,0.424310636524143,0,0.372261441991168,0
0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,2,0,1,0,0,16,16,1,1,0,1,30.375,1,"http://rosettacode.org//wiki/Animation",0.0522691396550825,0.124475348494147,0,0.82226781583252,0
0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,8,8,0,0,0,0,24.75,1,"http://rosettacode.org//wiki/Anonymous_recursion",0,0.0991661610275367,0,0.900096758351998,0
0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,8,8,0,0,0,0,22,1,"http://rosettacode.org//wiki/Anonymous_recursion",0,0.087874956365458,0,0.911406685723566,0
0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,10,10,0,0,0,0,18.3,2,"http://rosettacode.org//wiki/Apply_a_callback_to_an_array",0.00823172443754034,0,0.00490668051208299,0.985022768188215,0.00121708130769522
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,17.66666667,0,"http://rosettacode.org//wiki/Apply_a_callback_to_an_array",0,0,0.000789537516381372,0.998622566022498,0
0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,4,0,0,0,0,15.5,0,"http://rosettacode.org//wiki/Apply_a_callback_to_an_array",0.000324745081490658,0,0.003954130102317,0.995128569350496,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9,9,0,0,0,0,24.44444444,2,"http://rosettacode.org//wiki/Arithmetic-geometric_mean",0,0,0,0.999411981919485,0
0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,10,10,2,2,0,2,22.2,1,"http://rosettacode.org//wiki/Averages/Arithmetic_mean",0,0,0,0.999409824992345,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,1,1,0,1,23.125,1,"http://rosettacode.org//wiki/Averages/Arithmetic_mean",0,0,0,0.999413599447251,0
0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,8,8,2,2,0,2,26,1,"http://rosettacode.org//wiki/Averages/Arithmetic_mean",0,0,0,0.999409824992345,0
0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,8,8,2,2,0,2,27.625,0,"http://rosettacode.org//wiki/Averages/Arithmetic_mean",0.00400475269796353,0,0.000303118410712981,0.99508601968939,0
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,3,3,0,0,0,0,28.33333333,1,"http://rosettacode.org//wiki/Averages/Arithmetic_mean",0,0.093221221260337,0,0.906051329302937,0
0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,3,3,1,1,0,1,25,0,"http://rosettacode.org//wiki/Array_concatenation",0,0.0943443687031175,0,0.904925912886856,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,40,0,"http://rosettacode.org//wiki/Array_length",0,0,0,0.999413599447251,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,17.33333333,1,"http://rosettacode.org//wiki/Array_length",0,0.0749361316901366,0,0.924368231396987,0
0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,5,5,0,0,0,0,17.8,1,"http://rosettacode.org//wiki/Array_length",0,0.087874956365458,0,0.911406685723566,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,32.66666667,2,"http://rosettacode.org//wiki/Array_length",0,0.0862273363522156,0,0.913058304025419,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,27,2,"http://rosettacode.org//wiki/Array_length",0,0.0749361316901366,0,0.924368231396987,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,3,1,1,0,1,27,0,"http://rosettacode.org//wiki/Array_map",0,0,0.000382713300811069,0.999028247650867,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,37.33333333,0,"http://rosettacode.org//wiki/Array_map",0,0.0749361316901366,0,0.924368231396987,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,31,0,0,0,0,16.83870968,0,"http://rosettacode.org//wiki/Array_search",0,0,0,0.999413012674469,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,11,11,2,2,0,2,39.72727273,0,"http://rosettacode.org//wiki/Array_search",0.0327568885556201,0,0.00134712796362297,0.965173053310836,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,6,0,0,0,0,5.333333333,0,"http://rosettacode.org//wiki/Array_search",0,0,0,0.999413012674469,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,11,1,1,0,1,19.72727273,0,"http://rosettacode.org//wiki/Array_search",0,0,0.00147746747861509,0.997932267713587,0
0,0,0,0,0,0,0,0,2,0,4,0,2,0,0,3,0,0,0,0,15,8,9,2,0,2,42.66666667,0,"http://rosettacode.org//wiki/Arrays",0,0.435646874618917,0,0.563120571773806,0
0,0,0,0,0,1,0,1,2,1,0,0,8,10,0,2,0,0,0,2,22,21,0,0,1,0,23.27272727,1,"http://rosettacode.org//wiki/Balanced_brackets",0.171217799884867,0,0.00936030479188436,0.818151396626568,0
0,0,0,0,1,0,0,0,1,1,1,0,6,1,0,0,0,1,0,0,42,36,7,1,0,1,27.26190476,2,"http://rosettacode.org//wiki/Barnsley_fern",0.0841758292753575,0.172524976333636,0,0.738706660412741,0.00341415873336043
0,0,0,0,1,1,0,2,5,0,0,0,14,2,0,17,0,3,0,6,77,68,19,13,3,13,45.16883117,0,"http://rosettacode.org//wiki/Base64_encode_data",0.389183255836234,0.244990967803981,0.0220283737647997,0.341260605583913,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,140,0,"http://rosettacode.org//wiki/Base64_encode_data",0,0,0.00020379584159625,0.999206176002828,0
